chemsys,molarity__2-Thiophenemethylammonium iodide (M),prepare__2-Thiophenemethylammonium iodide,molarity__Dimethylformamide (M),prepare__Dimethylformamide,prepare_FinalVolume (mL),reagent_index,reagent_DispensedVolume (mL),reaction_id
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.063,2021-03-11T15_34_05.927968+00_00_LBL_A1
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.154,2021-03-11T15_34_05.927968+00_00_LBL_C1
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.049999999999999996,2021-03-11T15_34_05.927968+00_00_LBL_E1
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.097,2021-03-11T15_34_05.927968+00_00_LBL_G1
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.001,2021-03-11T15_34_05.927968+00_00_LBL_A3
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.092,2021-03-11T15_34_05.927968+00_00_LBL_C3
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.004,2021-03-11T15_34_05.927968+00_00_LBL_E3
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.041999999999999996,2021-03-11T15_34_05.927968+00_00_LBL_G3
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.08399999999999999,2021-03-11T15_34_05.927968+00_00_LBL_A5
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.023,2021-03-11T15_34_05.927968+00_00_LBL_C5
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.13099999999999998,2021-03-11T15_34_05.927968+00_00_LBL_E5
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.001,2021-03-11T15_34_05.927968+00_00_LBL_G5
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.11399999999999999,2021-03-11T15_34_05.927968+00_00_LBL_A7
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.018000000000000002,2021-03-11T15_34_05.927968+00_00_LBL_C7
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.093,2021-03-11T15_34_05.927968+00_00_LBL_E7
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.053,2021-03-11T15_34_05.927968+00_00_LBL_G7
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.041,2021-03-11T15_34_05.927968+00_00_LBL_A9
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.08099999999999999,2021-03-11T15_34_05.927968+00_00_LBL_C9
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.068,2021-03-11T15_34_05.927968+00_00_LBL_E9
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.096,2021-03-11T15_34_05.927968+00_00_LBL_G9
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.029,2021-03-11T15_34_05.927968+00_00_LBL_A11
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.181,2021-03-11T15_34_05.927968+00_00_LBL_C11
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.06,2021-03-11T15_34_05.927968+00_00_LBL_E11
2-Thiophenemethylammonium_iodide__Dimethylformamide,2.784019499782283,5.17 gram,8.38273135519783,5.0 milliliter,7.702630647622443,2,0.002,2021-03-11T15_34_05.927968+00_00_LBL_G11
2-Thiophenemethylammonium_iodide__Dimethylformamide,3.1294218470564363,5.15774 gram,7.820577422627217,4.14 milliliter,6.836221701444522,2,0.063,2021-03-12T18_02_56.329616+00_00_HC_A1
